pmid,title,abstract,publication_date,publication_year,journal,volume,issue,pages,language,relevant,dois,publication_types,mesh_terms,keywords
38912814,"Repeat Single-Session Stereotactic Radiosurgery for Cerebral Arteriovenous Malformations: A Systematic Review, Meta-Analysis, and International Stereotactic Radiosurgery Society Practice Guidelines.","BACKGROUND AND OBJECTIVES: Repeat stereotactic radiosurgery (SRS) for residual arteriovenous malformations (AVMs) can be considered as a salvage approach after failure of initial SRS. There are no published guidelines regarding patient selection, timing, or SRS parameters to guide clinical practice. This systematic review aimed to review outcomes and complications from the published literature to inform practice recommendations provided on behalf of the International Stereotactic Radiosurgery Society. METHODS: We performed a systematic review and meta-analysis following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A comprehensive search of MEDLINE, Scopus, Web of Science, and Embase was conducted. Fourteen studies with 925 patients met the inclusion criteria. Patients were treated between 1985 and 2022. All studies were retrospective, except for one prospective cohort. RESULTS: The median patient age at repeat SRS ranged from 32 to 60 years. Four studies (630 patients) reported detailed information on Spetzler-Martin grade at the time of repeat SRS; 12.54% of patients had Spetzler-Martin grade I AVMs (79/630 patients), 46.51% had grade II (293/630), 34.92% had grade III (220/630), 5.08% had grade IV (32/630), and 0.95% had grade V (6/630). The median prescription doses varied between 15 and 25 Gy (mean, 13.06-22.8 Gy). The pooled overall obliteration rate at the last follow-up after repeat SRS was 59% (95% CI 51%-67%) with a median follow-up between 21 and 50 months. The pooled hemorrhage incidence at the last follow-up was 5% (95% CI 4%-7%), and the pooled overall radiation-induced change incidence was 12% (95% CI 7%-20%). CONCLUSION: For an incompletely obliterated AVM, repeat radiosurgery after 3 to 5 years of follow-up from the first SRS provides a reasonable benefit to the risk profile. After repeat SRS, obliteration is achieved in the majority of patients. The risk of hemorrhage or radiation-induced change appears low, and International Stereotactic Radiosurgery Society recommendations are presented.",2025 Jan 1,2025,Neurosurgery,96,1,29-40,eng,False,10.1227/neu.0000000000003049;00006123-990000000-01234;10.1227/neu.0000000000003049,Journal Article;Meta-Analysis;Systematic Review,*Radiosurgery/methods;Humans;*Intracranial Arteriovenous Malformations/surgery/radiotherapy;Reoperation/statistics & numerical data;Practice Guidelines as Topic;Treatment Outcome,
22077447,"Stereotactic radiosurgery for arteriovenous malformations, Part 6: multistaged volumetric management of large arteriovenous malformations.","OBJECT: The object of this study was to define the long-term outcomes and risks of arteriovenous malformation (AVM) management using 2 or more stages of stereotactic radiosurgery (SRS) for symptomatic large-volume lesions unsuitable for surgery. METHODS: In 1992, the authors prospectively began to stage the treatment of anatomical components to deliver higher single doses to AVMs with a volume of more than 10 cm(3). Forty-seven patients with such AVMs underwent volume-staged SRS. In this series, 18 patients (38%) had a prior hemorrhage and 21 patients (45%) underwent prior embolization. The median interval between the first-stage SRS and the second-stage SRS was 4.9 months (range 2.8-13.8 months). The median target volume was 11.5 cm(3) (range 4.0-26 cm(3)) in the first-stage SRS and 9.5 cm(3) in the second-stage SRS. The median margin dose was 16 Gy (range 13-18 Gy) for both stages. RESULTS: In 17 patients, AVM obliteration was confirmed after 2-4 SRS procedures at a median follow-up of 87 months (range 0.4-209 months). Five patients had near-total obliteration (volume reduction > 75% but residual AVM). The actuarial rates of total obliteration after 2-stage SRS were 7%, 20%, 28%, and 36% at 3, 4, 5, and 10 years, respectively. The 5-year total obliteration rate after the initial staged volumetric SRS with a margin dose of 17 Gy or more was 62% (p = 0.001). Sixteen patients underwent additional SRS at a median interval of 61 months (range 33-113 months) after the initial 2-stage SRS. The overall rates of total obliteration after staged and repeat SRS were 18%, 45%, and 56% at 5, 7, and 10 years, respectively. Ten patients sustained hemorrhage after staged SRS, and 5 of these patients died. Three of 16 patients who underwent repeat SRS sustained hemorrhage after the procedure and died. Based on Kaplan-Meier analysis (excluding the second hemorrhage in the patient who had 2 hemorrhages), the cumulative rates of AVM hemorrhage after SRS were 4.3%, 8.6%, 13.5%, and 36.0% at 1, 2, 5, and 10 years, respectively. This corresponded to annual hemorrhage risks of 4.3%, 2.3%, and 5.6% for Years 0-1, 1-5, and 5-10 after SRS. Multiple hemorrhages before SRS correlated with a significantly higher risk of hemorrhage after SRS. Symptomatic adverse radiation effects were detected in 13% of patients, but no patient died as a result of an adverse radiation effect. Delayed cyst formation did not occur in any patient after SRS. CONCLUSIONS: Prospective volume-staged SRS for large AVMs unsuitable for surgery has potential benefit but often requires more than 2 procedures to complete the obliteration process. To have a reasonable chance of benefit, the minimum margin dose should be 17 Gy or greater, depending on the AVM location. In the future, prospective volume-staged SRS followed by embolization (to reduce flow, obliterate fistulas, and occlude associated aneurysms) may improve obliteration results and further reduce the risk of hemorrhage after SRS.",2012 Jan,2012,Journal of neurosurgery,116,1,54-65,eng,False,10.3171/2011.9.JNS11177;10.3171/2011.9.JNS11177,Journal Article,Adolescent;Adult;Brain/diagnostic imaging/*surgery;Cerebral Angiography;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Male;Middle Aged;Radiosurgery/instrumentation/*methods;Retrospective Studies;Treatment Outcome,
8109313,Radiosurgery for vascular malformations of the brain stem.,"The challenges associated with microsurgery of vascular malformations located in the midbrain, pons and medulla have promoted the development of alternative therapeutic techniques. To assess the efficacy and safety of radiosurgery in the management of brain stem vascular malformations we reviewed our 5-year experience in 50 patients evaluated between 4 and 51 months (mean, 25 months) after radiosurgery. Twenty-eight patients (56%) underwent gamma unit radiosurgery for symptomatic arteriovenous malformations (AVMs), and 22 patients (44%) for angiographically occult vascular malformations (AOVMs). Patients varied in age from 7 to 76 years (mean, 39 years). Forty-one patients (82%) had from 1 to 5 hemorrhages prior to gamma knife radiosurgery. Ten (20%) had one or two prior unsuccessful operations, and 37 (74%) presented with a neurological deficit. Of the patients with AVMs, 6 were considered Spetzler Grade III, and 22 (79%) Grade VI (inoperable: major component within the brain stem parenchyma). Forty-four malformations (88%) were adjacent to or within the midbrain and pons; the remainder involved the medulla. Average malformation diameters varied from 6 to 30.4 m (mean, 20.6; mean volume 4614 mm3). The minimal radiation dose to the margin of the malformations ranged from 12 to 25.6 Gy (mean, 18.9 Gy). Of the 28 patients with AVMs, 8 had follow-up angiograms at a minimum of 2-years after radiosurgery (or sooner if their MRIs suggested obliteration). Of these patients, 7 (88%) showed complete obliteration of their malformations. No patients with AOVMs rehemorrhaged if more than 15 months elapsed after radiosurgery.(ABSTRACT TRUNCATED AT 250 WORDS)",1993,1993,Acta neurochirurgica. Supplementum,58,,92-7,eng,False,10.1007/978-3-7091-9297-9_21,Journal Article,Adolescent;Adult;Aged;Brain Stem/*abnormalities/physiopathology/*surgery;Child;Female;Humans;Intracranial Arteriovenous Malformations/diagnosis/*surgery;Magnetic Resonance Imaging;Male;Middle Aged;*Radiosurgery/adverse effects;Stereotaxic Techniques;Vascular Surgical Procedures,
34116503,Radiosurgery as a microsurgical adjunct: outcomes after microsurgical resection of intracranial arteriovenous malformations previously treated with stereotactic radiosurgery.,"OBJECTIVE: Microsurgical resection of arteriovenous malformations (AVMs) can be aided by staged treatment consisting of stereotactic radiosurgery followed by resection in a delayed fashion. This approach is particularly useful for high Spetzler-Martin (SM) grade lesions because radiosurgery can reduce flow through the AVM, downgrade the SM rating, and induce histopathological changes that additively render the AVM more manageable for resection. The authors present their 28-year experience in managing AVMs with adjunctive radiosurgery followed by resection. METHODS: The authors retrospectively reviewed records of patients treated for cerebral AVMs at their institution between January 1990 and August 2019. All patients who underwent stereotactic radiosurgery (with or without embolization), followed by resection, were included in the study. Of 1245 patients, 95 met the eligibility criteria. Univariate and multivariate regression analyses were performed to assess relationships between key variables and clinical outcomes. RESULTS: The majority of lesions treated (53.9%) were high grade (SM grade IV-V), 31.5% were intermediate (SM grade III), and 16.6% were low grade (SM grade I-II). Hemorrhage was the initial presenting sign in half of all patients (49.5%). Complete resection was achieved among 84% of patients, whereas 16% had partial resection, the majority of whom received additional radiosurgery. Modified Rankin Scale (mRS) scores of 0-2 were achieved in 79.8% of patients, and 20.2% had poor (mRS scores 3-6) outcomes. Improved (44.8%) or stable (19%) mRS scores were observed among 63.8% of patients, whereas 36.2% had a decline in mRS scores. This includes 22 patients (23.4%) with AVM hemorrhage and 6 deaths (6.7%) outside the perioperative period but prior to AVM obliteration. CONCLUSIONS: Stereotactic radiosurgery is a useful adjunct in the presurgical management of cerebral AVMs. Multimodal therapy allowed for high rates of AVM obliteration and acceptable morbidity rates, despite the predominance of high-grade lesions in this series of patients.",2022 Jan 1,2022,Journal of neurosurgery,136,1,185-196,eng,False,10.3171/2020.9.JNS201538;10.3171/2020.9.JNS201538,Journal Article,"Adolescent;Adult;Child;Child, Preschool;Combined Modality Therapy;Embolization, Therapeutic;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/mortality/*surgery;Intracranial Hemorrhages/etiology/surgery;Male;Microsurgery/*methods;Middle Aged;Neurosurgical Procedures/*methods;Radiosurgery/adverse effects/*methods;Retrospective Studies;Treatment Outcome;Young Adult",Spetzler-Martin grade;arteriovenous malformation;embolization;microsurgery;multimodality;stereotactic radiosurgery;vascular disorders
24484227,Stereotactic radiosurgery for Spetzler-Martin Grade III arteriovenous malformations.,"OBJECT: The purpose of this study was to define the outcomes and risks of stereotactic radiosurgery (SRS) for Spetzler-Martin (SM) Grade III arteriovenous malformations (AVMs). METHODS: Between 1987 and 2009, SRS was performed in 474 patients with SM Grade III AVMs. The AVMs were categorized by scoring the size (S), drainage (D), and location (L): IIIa was a small AVM (S1D1L1, N = 282); IIIb was a medium/deep AVM (S2D1L0, N = 44); and IIIc was a medium/eloquent AVM (S2D0L1, N = 148). The median target volume was 3.8 ml (range 0.1-26.3 ml) and the margin dose was 20 Gy (range 13-25 Gy). Eighty-one patients (17%) underwent prior embolization, and 58 (12%) underwent prior resection. RESULTS: At a mean follow-up of 89 months, the total obliteration rates documented by angiography or MRI for all SM Grade III AVMs increased from 48% at 3 years to 69% at 4 years, 72% at 5 years, and 77% at 10 years. The SM Grade IIIa AVMs were more likely to obliterate than other subgroups. The cumulative rate of hemorrhage was 2.3% at 1 year, 4.4% at 2 years, 5.5% at 3 years, 6.4% at 5 years, and 9% at 10 years. The SM Grade IIIb AVMs had a significantly higher cumulative rate of hemorrhage. Symptomatic adverse radiation effects were detected in 6%. CONCLUSIONS: Treatment with SRS was an effective and relatively safe management option for SM Grade III AVMs. Although patients with residual AVMs remained at risk for hemorrhage during the latency interval, the cumulative 10-year 9% hemorrhage risk in this series may represent a significant reduction compared with the expected natural history.",2014 Apr,2014,Journal of neurosurgery,120,4,973-81,eng,True,10.3171/2013.12.JNS131600;10.3171/2013.12.JNS131600,Journal Article,"Adolescent;Adult;Aged;Cerebral Angiography;Child;Child, Preschool;Female;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Male;Middle Aged;Radiosurgery/adverse effects/*methods;Stereotaxic Techniques/*adverse effects;Treatment Outcome",
33264796,Does the Diffuseness of the Nidus Affect the Outcome of Stereotactic Radiosurgery in Patients with Unruptured Cerebral Arteriovenous Malformations?,"BACKGROUND: We proposed an algorithm to automate the components within the identification of components within the nidus of cerebral arteriovenous malformations (AVMs) which may be used to analyze the relationship between its diffuseness and treatment outcomes following stereotactic radiosurgery (SRS). OBJECTIVES: to determine the impact of the diffuseness of the AVM nidus on SRS outcomes. METHODS: This study conducted regular follow-ups of 209 patients with unruptured AVMs who underwent SRS. The diffuseness of the AVM nidus was estimated by quantifying the proportions of vascular nidal component, brain parenchyma, and cerebrospinal fluid in T2-weighted MRIs. We used Cox regression analysis to characterize the association between nidal diffuseness and treatment outcomes in terms of obliteration rate and radiation-induced change (RICs) rate following SRS. RESULTS: The median AVM volume was 20.7 cm3. The median duration of imaging follow-up was 51 months after SRS. The overall AVM obliteration rate was 68.4%. RICs were identified in 156 of the 209 patients (74.6%). The median proportions of the nidus of AVM and brain parenchyma components within the prescription isodose range were 30.2 and 52.2%, respectively. Cox regression multivariate analysis revealed that the only factor associated with AVM obliteration rate after SRS was AVM volume. However, a larger AVM volume (>20 mL) and a larger proportion of brain parenchyma (>50%) within the prescription isodose range were both correlated with a higher RIC rate following SRS. CONCLUSIONS: The diffuseness of the nidus indeed appears to affect the RIC rate following SRS in patients with unruptured AVMs.",2021,2021,Stereotactic and functional neurosurgery,99,2,113-122,eng,True,10.1159/000510683;000510683;10.1159/000510683,"Journal Article;Research Support, Non-U.S. Gov't",Brain;Humans;*Intracranial Arteriovenous Malformations/diagnostic imaging/surgery;*Radiosurgery;Retrospective Studies;Treatment Outcome,Cerebral arteriovenous malformation;Complication;Gamma knife;Hemorrhage;Stereotactic radiosurgery
32207748,[Molecular mechanisms of growth and relapse of cerebral arteriovenous malformations].,"Cerebral AVMs are not static congenital formations, they may grow, recur, and even appear de novo after complete resection, embolization, or radiosurgery. The author analyzes modern literature on the molecular mechanisms of AVM growth. The AVM intranidal vessels are exposed to abnormally high blood flows, which leads to the activation of molecular pathways in endothelial cells, causing proliferation and remodeling of AVM vessels. The existence of cerebral AVM is determined by more than 860 genes, the most important among them are the genetic mutations (SNPs) of VEGF, TGF-β, IL-6, MMP, ANG, ENG. The possible causes of AVM relapse after removal or total embolization are described, as well as the mechanisms of stimulation of angiogenesis after partial embolization: hemodynamic changes in AVM, aseptic inflammation in response to embolizate and the local regional hypoxia inside the AVM. In response to this, growth factors are expressed in the endothelium that further stimulate angiogenesis in AVM. Understanding the complex molecular biology of AVMs is critical to identifying and predicting their behavior, developing new treatments that improve the results of endovascular and surgical treatment.",2020,2020,Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko,84,1,94-100,rus,False,10.17116/neiro20208401194;10.17116/neiro20208401194,Journal Article,"*Embolization, Therapeutic;Endothelial Cells;Humans;Intracranial Arteriovenous Malformations/*surgery;*Radiosurgery;Recurrence;Treatment Outcome",ANG — angiopoietin;ENG — endogline;MMP — matrix metalloproteinase;PDGF is a platelet-derived growth factor;SNP — single nucleotide polymorphism;TGF — transforming growth factor;VEGF — vascular endothelial growth factor;angiogenesis factors;cerebral arteriovenous malformation;embolization angiogenesis
9231670,Complications from arteriovenous malformation radiosurgery: multivariate analysis and risk modeling.,"PURPOSE/OBJECTIVE: To assess the relationships of radiosurgery treatment parameters to the development of complications from radiosurgery for arteriovenous malformations (AVM). METHODS AND MATERIALS: We evaluated follow-up imaging and clinical data in 307 AVM patients who received gamma knife radiosurgery at the University of Pittsburgh between 1987 and 1993. All patients had regular clinical or imaging follow up for a minimum of 2 years (range: 24-96 months, median = 44 months). RESULTS: Post-radiosurgical imaging (PRI) changes developed in 30.5% of patients with regular follow-up magnetic resonance imaging, and were symptomatic in 10.7% of all patients at 7 years. PRI changes resolved within 3 years developed significantly less often (p = 0.0274) in patients with symptoms (52.8%) compared to asymptomatic patients (94.8%). The 7-year actuarial rate for developing persistent symptomatic PRI changes was 5.05%. Multivariate logistic regression modeling found that the 12 Gy volume was the only independent variable that correlated significantly with PRI changes (p < 0.0001) while symptomatic PRI changes were correlated with both 12 Gy volume (p = 0.0013) and AVM location (p = 0.0066). CONCLUSION: Complications from AVM radiosurgery can be predicted with a statistical model relating the risks of developing symptomatic post-radiosurgical imaging changes to 12 Gy treatment volume and location.",1997 Jun 1,1997,"International journal of radiation oncology, biology, physics",38,3,485-90,eng,False,S0360301697894813;10.1016/s0360-3016(97)89481-3,Journal Article,Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/*surgery;Multivariate Analysis;Radiosurgery/*adverse effects/instrumentation;Radiotherapy Dosage,
31131849,Clinical Outcomes of Stereotactic Radiosurgery for Cerebral Arteriovenous Malformations in Pediatric Patients: Systematic Review and Meta-Analysis.,"BACKGROUND: Arteriovenous malformations (AVMs) in pediatric patients exhibit remarkable differences in terms of management and outcomes. Owing to a paucity of relevant data pertaining to AVMs in pediatric patients, special interest and investigation are required for an improved understanding of the available evidence by clinicians. OBJECTIVE: To determine the clinical outcomes of single-session stereotactic radiosurgery (SRS) for AVMs in pediatric patients. METHODS: A systematic literature review was performed to identify studies that reported the outcomes of SRS for AVMs in pediatric patients. Data pertaining to variables such as obliteration rate, post-SRS new hemorrhage rate, post-SRS new neurological deficit rate, and mortality rate were extracted and analyzed using meta-analysis techniques. RESULTS: Based on pooled data from 20 studies with 1212 patients, single-session SRS resulted in complete obliteration in 65.9% (95% confidence interval [CI], 60.5%-71.1%; I2 = 66.5%) patients. Overall complication rate (including new hemorrhage, new neurodeficit, and mortality) was 8.0% (95% CI, 5.1%-11.5%; I2 = 66.4%). Post-SRS new neurological deficit rate was 3.1% (95% CI, 1.3%-5.4%; I2 = 59.7%), and post-SRS hemorrhage rate was 4.2% (95% CI, 2.5%-6.3%; I2 = 42.7%). There was no significant difference between studies disaggregated by treatment method (Gamma Knife [Elekta AB] vs other), treatment year (before year 2000 vs after year 2000), median AVM volume reported (≥3 vs <3 cm3), median dose reported (≥20 vs <20 Gy), or follow-up period (≥36 vs <36 mo). CONCLUSION: Single-SRS is a safe treatment alternative that achieves high obliteration rates and acceptable complication rates for AVMs in pediatric patients.",2019 Oct 1,2019,Neurosurgery,85,4,E629-E640,eng,False,10.1093/neuros/nyz146;5498831;10.1093/neuros/nyz146,Journal Article;Meta-Analysis;Systematic Review,Adolescent;Arteriovenous Fistula/diagnosis/*radiotherapy;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/*radiotherapy;Male;Radiosurgery/*methods/trends;Retrospective Studies;Treatment Outcome,Arteriovenous malformation;Gamma Knife;Linear accelerator stereotactic radiosurgery;Review
19344220,Early results of CyberKnife radiosurgery for arteriovenous malformations.,"OBJECT: The authors describe a method that utilizes an image-guided robotic radiosurgical apparatus (the CyberKnife) for treatment of cerebral arteriovenous malformations (AVMs). This procedure required the development of an original technique that allows a high degree of automation. METHODS: Angiographic images were imported into the treatment planning software by coregistering CT and 3D rotational angiography. The nidus contour was delineated using the contouring tools of the treatment planning system. Functional MR imaging was employed for contouring critical cortical regions, such as the motor cortex and language areas. Once the radiation dose to be delivered to the target volume and dose constraints to critical structures were prescribed, the inverse treatment planning function determined the optimal treatment plan. RESULTS: A series of 279 patients with cerebral AVMs underwent CyberKnife radiosurgery. One transitory adverse effect of the radiation procedure was observed. Eight bleeding occurrences were noted before complete AVM obliteration. Of the 102 patients with follow-up > 36 months, 80 underwent angiographic evaluation. In this group, 65 patients (81.2%) showed complete angiographic obliteration of their AVM. In 8 more patients, complete angiographic obliteration was demonstrated by MR angiography only. CONCLUSIONS: This is the first report describing a technique developed for CyberKnife radiosurgery of cerebral AVMs. The use of different imaging modalities for automatic delineation of the target and critical structures combined with the employment of the inverse treatment planning capability is the crucial point of the procedure. The procedure proved to be safe and efficient.",2009 Oct,2009,Journal of neurosurgery,111,4,807-19,eng,True,10.3171/2008.10.JNS08749;10.3171/2008.10.JNS08749,Journal Article,"Adolescent;Adult;Aged;Cerebral Angiography;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/pathology/*surgery;Magnetic Resonance Imaging;Male;Middle Aged;Radiation Dosage;Radiosurgery/adverse effects/*methods;Retrospective Studies;Robotics/*methods;Tomography, X-Ray Computed;Treatment Outcome;Young Adult",
31558656,Evaluation of the radiosurgical treatment of cerebral arteriovenous malformations: a retrospective single-center analysis of three decades.,"BACKGROUND: Gamma Knife radiosurgery (GKRS) in the treatment of arteriovenous malformations (AVMs) is still controversially discussed. OBJECTIVE: To present long-term follow-up data on patients after Gamma Knife radiosurgery for cerebral AVMs. METHODS: Overall, 516 patients received radiosurgery for cerebral AVMs between 1992 and 2018 at our department, of whom 265 received radiosurgery alone and 207 were treated with a combined endovascular-radiosurgical approach. Moreover, 45 patients were treated with a volume-staged approach. Two eras were analyzed, the pre-modern era between 1992 and 2002 and the modern era thereafter. RESULTS: In GKRS-only treated patients, median time to nidus occlusion was 3.8 years. Spetzler-Ponce (SP) class was a significant predictor for time to obliteration in the whole sample. Median time to obliteration for the combined treatment group was 6.5 years. Patients in the pre-modern era had a significantly higher obliteration rate than those treated in the modern era. Overall, the calculated yearly hemorrhage risk in the observation period after first GKRS was 1.3%. Permanent post-radiosurgical complications occurred in 4.9% of cases but did not differ between the treatment groups or treatment eras. The obliteration rate was significantly lower and the hemorrhage rate was higher in volume-staged treated patients than in conventionally treated patients. CONCLUSION: GKRS is an effective treatment option for SP class A and B cerebral AVMs. After combined endovascular-radiosurgical treatment, the outcome of selected SP class C AVMs aligns with that of SP class B lesions. Both the combined therapy and radiosurgery alone constitute sound methods for treatment of cerebral AVMs.",2020 Apr,2020,Journal of neurointerventional surgery,12,4,401-406,eng,True,10.1136/neurintsurg-2019-015332;neurintsurg-2019-015332;10.1136/neurintsurg-2019-015332,Evaluation Study;Journal Article,"Adolescent;Adult;Aged;Aged, 80 and over;Arteriovenous Fistula/*radiotherapy;Child;Combined Modality Therapy/methods/standards/trends;Embolization, Therapeutic/methods/*standards/trends;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/radiotherapy/*therapy;Male;Middle Aged;Radiosurgery/methods/*standards/trends;Retrospective Studies;Treatment Outcome;Young Adult",arteriovenous malformation;brain;hemorrhage;vascular malformation
19796884,Complications following linear accelerator based stereotactic radiation for cerebral arteriovenous malformations.,"PURPOSE: Primarily, gamma knife centers are predominant in publishing results on arteriovenous malformations (AVM) treatments including reports on risk profile. However, many patients are treated using a linear accelerator-most of these at smaller centers. Because this setting is different from a large gamma knife center, the risk profile at Linac departments could be different from the reported experience. Prescribed radiation doses are dependent on AVM volume. This study details results from a medium sized Linac department center focusing on risk profiles. METHOD AND MATERIALS: A database was searched for all patients with AVMs. We included 50 consecutive patients with a minimum of 24 months follow-up (24-51 months). RESULTS: AVM occlusion was verified in 78% of patients (39/50). AVM occlusion without new deficits (excellent outcome) was obtained in 44%. Good or fair outcome (AVM occlusion with mild or moderate new deficits) was seen in 30%. Severe complications after AVM occlusion occurred in 4% with a median interval of 15 months after treatment (range, 1-26 months). CONCLUSIONS: We applied an AVM grading score developed at the Mayo Clinic to predict probable outcome after radiosurgery in a large patient population treated with Gamma knife. A cutoff above and below a score of 1.5 could not discriminate between the likelihood of having an excellent outcome (approximately 45%). The chance of having an excellent or good outcome was slightly higher in patients with an AVM score below 1.5 (64% vs. 57%).",2010 Jun 1,2010,"International journal of radiation oncology, biology, physics",77,2,542-7,eng,True,10.1016/j.ijrobp.2009.05.048;S0360-3016(09)00831-1;10.1016/j.ijrobp.2009.05.048,Journal Article,Adolescent;Adult;Aged;Child;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Middle Aged;Particle Accelerators;Radiosurgery/*adverse effects/instrumentation/methods;Radiotherapy Dosage;Risk Factors;Treatment Outcome;Young Adult,
20362350,Clinical outcome after repeated radiosurgery for brain arteriovenous malformations.,"INTRODUCTION: We assessed the clinical and radiological outcome after repeated radiosurgery for brain arteriovenous malformations (bAVMs) after failure of initial radiosurgery. MATERIALS AND METHODS: Fifteen patients underwent repeated radiosurgery. The mean bAVM volume at first radiosurgery (S1) was 4.6 +/- 4.3 ml and that at second radiosurgery (S2) was 2.1 +/- 2.5 ml. The median marginal dose was 18 Gy at S1, and 21 Gy at S2. Modified Rankin Scale (MRS) score was determined in all patients at last follow-up (FU). RESULTS: Complete obliteration was reached in nine patients (60%). Median time to obliteration was 50 months after S2. An excellent outcome (no new neurologic deficiencies, complete obliteration) was reached in seven patients (47%). Eleven patients (73%) showed a MRS1. Radiation-induced complications occurred in 20%, of which 13% occurred after S2. Radiological complications included cyst formation (n = 1), radiation-related edema (n = 4), and radiation necrosis (n = 1), resulting in an increasing mean MRS of 0.5 at S1, 0.6 at S2, to 0.8 at FU. No (re-)bleedings were encountered during 137-patient years at risk. DISCUSSION: Repeated radiosurgery is a viable option for the treatment of small remnant bAVMs. We report 20% permanent radiation-induced complications. Such complications were mainly seen in relatively large, and therefore difficult to treat, bAVMs.",2010 May,2010,Radiotherapy and oncology : journal of the European Society for Therapeutic,95,2,250-6,eng,False,10.1016/j.radonc.2010.03.003;S0167-8140(10)00154-4;10.1016/j.radonc.2010.03.003,Journal Article,Adult;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Radiosurgery/*methods;Treatment Outcome,
12909232,Radiosurgery of cerebral arteriovenous malformations in children: a series of 57 cases.,"PURPOSE: To evaluate the efficacy and outcome of Linac radiosurgery (RS) as treatment of cerebral arteriovenous malformations (cAVM) in a series of 57 children. METHODS AND MATERIALS: Between 1984 and 2000, we used Linac radiosurgery to treat 792 patients with cAVM. This series included 57 children (7.2%) under the age of 15 years at the time of RS (range = 7-15 years, median = 12 years). We were able to evaluate 49 of the children (86%) by angiography, 21 boys and 28 girls (sex ratio = 0.75). First symptoms were: hemorrhage, 34 patients (69.4%); seizures, 6 patients (12.5%); headache, 6 patients (12.5%); and progressive neurologic deficit, 1 patient (2.1%). Nidus size ranged from 5 to 50 mm (median = 20 mm). Nidus volume ranged from 0.6 to 16 cc (median = 3.5 cc). Patient distribution according to Spetzler-Martin grade was as follows: Grade 1, n = 5 (11%); Grade 2, n = 18 (35%); Grade 3, n = 21 (40%,); Grade 4, n = 5 (14%); and Grade 5, n = 0%. Twenty-seven patients (55.1%) had other treatment before RS: embolization, n = 14 (31.1%); neurosurgery, n = 9 (20.5%); embolization and neurosurgery, n = 3 (6.1%). RS was performed with the system used for adults. Patients were seated in a Betti armchair. Circular 15 MV X-ray minibeams (6 to 20 mm) were delivered in coronal arcs by a GECGR Saturne 43 Linac. Planification and dosimetry were carried out using the Associated Target Methodology and Dosigray TPS dosimetric systems. The dose at the peripheral isodose (50-70%) ranged from 18 to 28 Gy. Median and mean doses were 25 Gy and 23.8 Gy. Mono-isocentric planification was used in 25 patients (53.2%) and multi-isocentric in 24 patients (2 to 5 isocenters). The overall follow-up ranged from 7 to 172 months (mean 40 months, median 34 months). RESULTS: The overall rate of obliteration (OR) was 30/49 (61.2%). Mean time to obliteration was 34 months (range = 7 to 172 months). OR varied according to nidus size and volume: OR was 80% for nidus <15 mm, 67% for nidus between 15 and 25 mm, and 42% for nidus >25 mm (p = 0.058). OR was 100% for nidus <1 cc, 73% for nidus between 1 and 4 cc, and 40% for nidus of 4 to 10 cc (p = 0.019). OR according to patient gender was 84.2% for boys and 40% for girls. OR according to minimum dose (Dmin) was 44% for Dmin < 15 Gy (p = 0.01), 89% for D min from 15 to 20 Gy, and 100% for Dmin > 20 Gy (p = 0.01). OR was 62% in nonembolized AVM and 58% in previously embolized AVM (NS). OR according to the number of isocenters was 68.2%, 55.6%, 80%, 50%, and 0% for 1, 2, 3, 4, and 5 isocenters, respectively. After multivariate analysis, only Dmin closely correlated with OR (beta = 0.462; SE = 0.244, p = 0.057). Of the 6 patients with seizures before RS, 5 (80%) were seizure-free without medication after RS. One patient died of pneumonia. MORBIDITY: Four patients (8.2%) had bleeding after RS at 39, 45, 51, and 59 months. No new neurologic deficit was found during the follow-up period. Twenty-nine patients underwent magnetic resonance imaging. Thirteen patients (44.8%) showed no parenchymal changes. Thirteen patients (44.8%) had Grade 2 changes, that is, T2 hypersignals. Two patients (6.9%) had Grade 3 changes, and 1 patient (3.4%) had Grade 4 ""necrosis-like"" changes. CONCLUSION: In our experience, Linac RS has proven to be a safe and effective method to treat cerebral AVM in children <15 years, whether used alone or in association with embolization and/or neurosurgery.",2003 Sep 1,2003,"International journal of radiation oncology, biology, physics",57,1,184-95,eng,False,S0360301603004450;10.1016/s0360-3016(03)00445-0,"Clinical Trial;Journal Article;Research Support, Non-U.S. Gov't","Adolescent;Child;Dose-Response Relationship, Radiation;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/*diagnostic;Male;Radiography;Radiosurgery/adverse effects/instrumentation/*methods;Radiotherapy Dosage;Treatment Outcome",
